Valores de variable;
Variable;Etiqueta de variables
cod_provincia;Número de jurisdicción - Ciudad Autónoma de Buenos Aires
cod_provincia;Número de jurisdicción - Buenos aires
cod_provincia;Número de jurisdicción - Catamarca
cod_provincia;Número de jurisdicción - Córdoba
cod_provincia;Número de jurisdicción - Corrientes
cod_provincia;Número de jurisdicción - Chaco
cod_provincia;Número de jurisdicción - Chubut
cod_provincia;Número de jurisdicción - Entre Ríos
cod_provincia;Número de jurisdicción - Formosa
cod_provincia;Número de jurisdicción - Jujuy
cod_provincia;Número de jurisdicción - La Pampa
cod_provincia;Número de jurisdicción - La Rioja
cod_provincia;Número de jurisdicción - Mendoza
cod_provincia;Número de jurisdicción - Misiones
cod_provincia;Número de jurisdicción - Neuquén
cod_provincia;Número de jurisdicción - Río Negro
cod_provincia;Número de jurisdicción - Salta
cod_provincia;Número de jurisdicción - San Juan
cod_provincia;Número de jurisdicción - San Luis
cod_provincia;Número de jurisdicción - Santa Cruz
cod_provincia;Número de jurisdicción - Santa Fe
cod_provincia;Número de jurisdicción - Santiago del Estero
cod_provincia;Número de jurisdicción - Tucumán
cod_provincia;Número de jurisdicción - Tierra del Fuego
departamento;departamento - departamento
sector;Sector de gestión - Estatal
sector;Sector de gestión - Privada
ambito;Ámbito - Urbano
ambito;Ámbito - Rural
ap01_01_Blanco;¿En qué mes y año naciste? mes - Blanco
ap01_01_No_disponible;¿En qué mes y año naciste? mes - No disponible
ap01_01_Multimarca;¿En qué mes y año naciste? mes - Multimarca
ap01_01_No_Corresponde;¿En qué mes y año naciste? mes - No Corresponde
ap01_01_Enero;¿En qué mes y año naciste? mes - Enero
ap01_01_Febrero;¿En qué mes y año naciste? mes - Febrero
ap01_01_Marzo;¿En qué mes y año naciste? mes - Marzo
ap01_01_Abril;¿En qué mes y año naciste? mes - Abril
ap01_01_Mayo;¿En qué mes y año naciste? mes - Mayo
ap01_01_Junio;¿En qué mes y año naciste? mes - Junio
ap01_01_Julio;¿En qué mes y año naciste? mes - Julio
ap01_01_Agosto;¿En qué mes y año naciste? mes - Agosto
ap01_01_Septiembre;¿En qué mes y año naciste? mes - Septiembre
ap01_01_Octubre;¿En qué mes y año naciste? mes - Octubre
ap01_01_Noviembre;¿En qué mes y año naciste? mes - Noviembre
ap01_01_Diciembre;¿En qué mes y año naciste? mes - Diciembre
ap01_02_Blanco;¿En qué mes y año naciste? año - Blanco
ap01_02_No_disponible;¿En qué mes y año naciste? año - No disponible
ap01_02_Multimarca;¿En qué mes y año naciste? año - Multimarca
ap01_02_No_Corresponde;¿En qué mes y año naciste? año - No Corresponde
ap01_02_1998;¿En qué mes y año naciste? año - 1998
ap01_02_1999;¿En qué mes y año naciste? año - 1999
ap01_02_2000;¿En qué mes y año naciste? año - 2000
ap01_02_2001;¿En qué mes y año naciste? año - 2001
ap01_02_2002;¿En qué mes y año naciste? año - 2002
